alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.05,0.75,0.0002502982,0.0000285870,0.0,resume_from_csv
0.05,0.76,0.0000679921,0.0000119392,0.0,resume_from_csv
0.05,0.77,0.0004595454,0.0000417888,0.0,resume_from_csv
0.05,0.78,0.0001293340,0.0000126480,0.0,resume_from_csv
0.05,0.79,0.0001806283,0.0000193650,0.0,resume_from_csv
0.05,0.8,0.0000404182,0.0000089034,0.0,resume_from_csv
0.05,0.81,0.0000396206,0.0000085270,0.0,resume_from_csv
0.05,0.82,0.0000399314,0.0000082086,0.0,resume_from_csv
0.05,0.83,0.0000397449,0.0000079784,0.0,resume_from_csv
0.05,0.84,0.0000389888,0.0000077706,0.0,resume_from_csv
0.05,0.85,0.0000379322,0.0000075982,0.0,resume_from_csv
0.05,0.86,0.0000369482,0.0000075377,0.0,resume_from_csv
0.05,0.87,0.0000378804,0.0000075646,0.0,resume_from_csv
0.05,0.88,0.0001834043,0.0000153197,0.0,resume_from_csv
0.05,0.89,0.0000773560,0.0000085125,0.0,resume_from_csv
0.05,0.9,0.0001967769,0.0000166638,0.0,resume_from_csv
0.05,0.91,0.0000577684,0.0000076384,0.0,resume_from_csv
0.05,0.92,0.0001305770,0.0000128239,0.0,resume_from_csv
0.05,0.93,0.0001192139,0.0000131740,0.0,resume_from_csv
0.05,0.94,0.0004981712,0.0000217225,0.0,resume_from_csv
0.05,0.95,0.0002681662,0.0000216955,0.0,resume_from_csv
0.05,0.96,0.0000684167,0.0000088815,0.0,resume_from_csv
0.05,0.97,0.0000743314,0.0000087423,0.0,resume_from_csv
0.05,0.98,0.0000706024,0.0000078180,0.0,resume_from_csv
0.05,0.99,0.0000689036,0.0000076727,0.0,resume_from_csv
0.05,1.0,0.0000677227,0.0000075300,0.0,resume_from_csv
0.1,0.0,0.0003745352,0.0000953051,0.0,resume_from_csv
0.1,0.01,0.0005213635,0.0001269645,0.0,resume_from_csv
0.1,0.02,0.0005320740,0.0001329042,0.0,resume_from_csv
0.1,0.03,0.0006357387,0.0001574796,0.0,resume_from_csv
0.1,0.04,0.0005862580,0.0001297469,0.0,resume_from_csv
0.1,0.05,0.0005425459,0.0001088772,0.0,resume_from_csv
0.1,0.06,0.0004037145,0.0000939504,0.0,resume_from_csv
0.1,0.07,0.0004941733,0.0000983224,0.0,resume_from_csv
0.1,0.08,0.0004664129,0.0000962446,0.0,resume_from_csv
0.1,0.09,0.0003341898,0.0000792212,0.0,resume_from_csv
0.1,0.1,0.0002709111,0.0000686468,0.0,resume_from_csv
0.1,0.11,0.0003405705,0.0000653605,0.0,resume_from_csv
0.1,0.12,0.0002791978,0.0000684175,0.0,resume_from_csv
0.1,0.13,0.0004476852,0.0000590950,0.0,resume_from_csv
0.1,0.14,0.0003765551,0.0000590266,0.0,resume_from_csv
0.1,0.15,0.0002527531,0.0000507668,0.0,resume_from_csv
0.1,0.16,0.0003883636,0.0000567455,0.0,resume_from_csv
0.1,0.17,0.0002811555,0.0000474967,0.0,resume_from_csv
0.1,0.18,0.0003377947,0.0000540418,0.0,resume_from_csv
0.1,0.19,0.0001523916,0.0000441143,0.0,resume_from_csv
0.1,0.2,0.0001434627,0.0000372391,0.0,resume_from_csv
0.1,0.21,0.0005252271,0.0000589843,0.0,resume_from_csv
0.1,0.22,0.0003417101,0.0000580209,0.0,resume_from_csv
0.1,0.23,0.0001977713,0.0000375997,0.0,resume_from_csv
0.1,0.24,0.0002475843,0.0000522777,0.0,resume_from_csv
0.1,0.25,0.0001736675,0.0000350723,0.0,resume_from_csv
0.1,0.26,0.0001505893,0.0000324217,0.0,resume_from_csv
