alpha,beta,relative_drift_%,wall_time_s,status
0.25,0.19,0.0009112939,4.6,ok
0.25,0.2,0.0008356006,4.7,ok
0.25,0.21,0.0014664366,4.7,ok
0.25,0.22,0.0012584278,4.7,ok
0.25,0.23,0.0010624835,5.0,ok
0.25,0.24,0.0020060635,5.0,ok
0.25,0.25,0.0013506529,5.1,ok
0.25,0.26,0.0009463059,4.7,ok
0.25,0.27,0.0014121570,4.7,ok
0.25,0.28,0.0118820112,4.4,ok
0.25,0.29,0.0026602405,4.6,ok
0.25,0.3,0.0219919988,4.5,ok
0.25,0.31,0.0021815259,4.6,ok
0.25,0.32,0.0205394857,4.5,ok
0.25,0.33,0.0199007226,4.4,ok
0.25,0.34,0.0022717216,4.7,ok
0.25,0.35,0.0028712444,4.7,ok
0.25,0.36,0.0104683735,4.3,ok
0.25,0.37,0.0044135230,4.4,ok
0.25,0.38,0.0081176247,4.1,ok
0.25,0.39,0.0119879819,3.9,ok
0.25,0.4,0.0128050837,3.9,ok
0.25,0.41,0.0121175318,4.0,ok
0.25,0.42,0.0112706577,3.9,ok
0.25,0.43,0.0106035504,3.9,ok
0.25,0.44,0.0085917154,4.0,ok
0.25,0.45,0.0055022555,4.6,ok
0.25,0.46,0.0157016381,4.1,ok
0.25,0.47,0.0175672617,4.2,ok
0.25,0.48,0.0148505835,4.5,ok
0.25,0.49,0.0098252329,3.9,ok
0.25,0.5,0.0115337454,3.7,ok
0.3,0.0,0.0007196818,5.0,ok
0.3,0.01,0.0007173913,5.0,ok
0.3,0.02,0.0007163652,5.0,ok
0.3,0.03,0.0007186765,4.7,ok
0.3,0.04,0.0008040400,4.7,ok
0.3,0.05,0.0007235686,4.7,ok
0.3,0.06,0.0007165517,5.0,ok
0.3,0.07,0.0007320988,5.0,ok
0.3,0.08,0.0007419763,4.6,ok
0.3,0.09,0.0007517917,4.6,ok
0.3,0.1,0.0009259287,4.7,ok
0.3,0.11,0.0009451034,5.0,ok
0.3,0.12,0.0007519369,5.1,ok
0.3,0.13,0.0007004037,5.0,ok
0.3,0.14,0.0006991910,4.7,ok
0.3,0.15,0.0006983048,5.4,ok
0.3,0.16,0.0006981235,4.6,ok
0.3,0.17,0.0008208931,4.7,ok
0.3,0.18,0.0009193368,4.6,ok
0.3,0.19,0.0008878386,4.7,ok
0.3,0.2,0.0015316511,4.6,ok
0.3,0.21,0.0009072931,4.7,ok
0.3,0.22,0.0013678996,5.0,ok
0.3,0.23,0.0012336562,5.0,ok
0.3,0.24,0.0013033069,5.0,ok
0.3,0.25,0.0008171723,4.6,ok
0.3,0.26,0.0007772061,4.7,ok
0.3,0.27,0.0012927834,4.6,ok
0.3,0.28,0.0166083069,4.7,ok
0.3,0.29,0.0025031527,4.6,ok
0.3,0.3,0.0028949328,4.6,ok
0.3,0.31,0.0020500608,4.9,ok
0.3,0.32,0.0217539907,4.7,ok
0.3,0.33,0.0129879193,4.6,ok
0.3,0.34,0.0022113539,4.6,ok
0.3,0.35,0.0047891327,4.6,ok
0.3,0.36,0.0202542835,4.2,ok
0.3,0.37,0.0041068124,4.4,ok
0.3,0.38,0.0146922455,4.2,ok
0.3,0.39,0.0111341437,4.0,ok
0.3,0.4,0.0123765696,3.9,ok
0.3,0.41,0.0119761183,3.9,ok
0.3,0.42,0.0112515052,3.9,ok
0.3,0.43,0.0105025996,3.9,ok
0.3,0.44,0.0084855402,4.0,ok
0.3,0.45,0.0052998331,4.5,ok
0.3,0.46,0.0056504410,4.3,ok
0.3,0.47,0.0175753812,4.1,ok
0.3,0.48,0.0159279417,4.2,ok
0.3,0.49,0.0092208685,3.9,ok
0.3,0.5,0.0110203623,3.7,ok
0.35,0.0,0.0007193398,4.7,ok
0.35,0.01,0.0007172980,4.7,ok
0.35,0.02,0.0007163652,5.0,ok
0.35,0.03,0.0007185314,5.0,ok
0.35,0.04,0.0007664265,4.7,ok
0.35,0.05,0.0007177229,4.7,ok
0.35,0.06,0.0007164999,4.7,ok
0.35,0.07,0.0007156708,5.0,ok
0.35,0.08,0.0007249783,5.0,ok
0.35,0.09,0.0007135357,5.0,ok
0.35,0.1,0.0008443069,4.7,ok
0.35,0.11,0.0008719598,4.6,ok
0.35,0.12,0.0007020102,4.7,ok
0.35,0.13,0.0007005073,4.7,ok
0.35,0.14,0.0006992117,4.7,ok
0.35,0.15,0.0006982686,4.7,ok
0.35,0.16,0.0006983204,5.0,ok
0.35,0.17,0.0007897576,5.0,ok
0.35,0.18,0.0008854651,5.0,ok
0.35,0.19,0.0011244850,5.0,ok
0.35,0.2,0.0007837150,5.3,ok
0.35,0.21,0.0010661008,4.7,ok
0.35,0.22,0.0022313397,5.0,ok
0.35,0.23,0.0009515711,4.7,ok
0.35,0.24,0.0012532352,4.7,ok
0.35,0.25,0.0007897473,4.7,ok
0.35,0.26,0.0012086360,5.0,ok
0.35,0.27,0.0012749286,4.6,ok
0.35,0.28,0.0238228315,4.4,ok
0.35,0.29,0.0024289507,4.6,ok
0.35,0.3,0.0019817047,4.6,ok
0.35,0.31,0.0019284938,4.6,ok
0.35,0.32,0.0097447524,4.7,ok
0.35,0.33,0.0087367475,4.4,ok
0.35,0.34,0.0021521338,5.0,ok
0.35,0.35,0.0026967670,4.7,ok
0.35,0.36,0.0199065366,4.3,ok
0.35,0.37,0.0039087233,4.4,ok
0.35,0.38,0.0162962160,4.2,ok
0.35,0.39,0.0101911277,3.9,ok
0.35,0.4,0.0118595827,3.9,ok
0.35,0.41,0.0117708584,3.9,ok
0.35,0.42,0.0111489793,3.9,ok
0.35,0.43,0.0103569564,4.2,ok
0.35,0.44,0.0083311280,4.0,ok
0.35,0.45,0.0050932376,4.5,ok
0.35,0.46,0.0143700915,4.3,ok
0.35,0.47,0.0172115848,4.1,ok
0.35,0.48,0.0165019127,4.2,ok
0.35,0.49,0.0093222419,4.0,ok
0.35,0.5,0.0105605647,3.8,ok
0.4,0.0,0.0007189667,4.7,ok
0.4,0.01,0.0007171943,4.7,ok
0.4,0.02,0.0007163652,4.6,ok
0.4,0.03,0.0007183655,4.7,ok
0.4,0.04,0.0007313317,5.0,ok
0.4,0.05,0.0007173809,5.0,ok
0.4,0.06,0.0007164066,5.0,ok
0.4,0.07,0.0007133076,4.7,ok
0.4,0.08,0.0007101153,4.6,ok
0.4,0.09,0.0007075552,4.6,ok
0.4,0.1,0.0007981322,5.0,ok
0.4,0.11,0.0008110259,5.0,ok
0.4,0.12,0.0007021449,5.0,ok
0.4,0.13,0.0007005695,5.0,ok
0.4,0.14,0.0006992273,5.0,ok
0.4,0.15,0.0006982686,4.7,ok
0.4,0.16,0.0006985018,4.7,ok
0.4,0.17,0.0007602183,4.7,ok
0.4,0.18,0.0008560294,5.0,ok
0.4,0.19,0.0008388551,4.7,ok
0.4,0.2,0.0007594513,4.7,ok
0.4,0.21,0.0011436389,4.7,ok
0.4,0.22,0.0007947845,4.7,ok
0.4,0.23,0.0011141307,4.7,ok
0.4,0.24,0.0013333438,4.7,ok
0.4,0.25,0.0006850174,4.7,ok
0.4,0.26,0.0011539831,4.6,ok
0.4,0.27,0.0013756319,4.6,ok
0.4,0.28,0.0252025367,4.4,ok
0.4,0.29,0.0014972823,4.7,ok
0.4,0.3,0.0022271785,4.7,ok
0.4,0.31,0.0018243705,4.9,ok
0.4,0.32,0.0093958526,4.8,ok
0.4,0.33,0.0190462083,4.5,ok
0.4,0.34,0.0020986002,4.7,ok
0.4,0.35,0.0026159198,5.0,ok
0.4,0.36,0.0111370011,4.7,ok
0.4,0.37,0.0083956302,4.3,ok
0.4,0.38,0.0063927860,4.6,ok
0.4,0.39,0.0094015082,4.0,ok
0.4,0.4,0.0113407714,3.9,ok
0.4,0.41,0.0114822667,3.9,ok
0.4,0.42,0.0109645313,3.9,ok
0.4,0.43,0.0101344075,3.9,ok
0.4,0.44,0.0081637599,4.0,ok
0.4,0.45,0.0063659291,4.6,ok
0.4,0.46,0.0267969066,4.4,ok
0.4,0.47,0.0174000550,4.5,ok
0.4,0.48,0.0173779096,4.3,ok
0.4,0.49,0.0102010263,4.1,ok
0.4,0.5,0.0101399041,4.2,ok
0.45,0.0,0.0007185936,4.6,ok
0.45,0.01,0.0007171010,4.7,ok
0.45,0.02,0.0007163341,4.6,ok
0.45,0.03,0.0007181997,5.0,ok
0.45,0.04,0.0007182412,4.6,ok
0.45,0.05,0.0007170285,4.6,ok
0.45,0.06,0.0007162926,4.6,ok
0.45,0.07,0.0007134423,5.0,ok
0.45,0.08,0.0007103744,4.9,ok
0.45,0.09,0.0007078455,4.7,ok
0.45,0.1,0.0007567564,4.7,ok
0.45,0.11,0.0007679814,4.7,ok
0.45,0.12,0.0007022589,4.7,ok
0.45,0.13,0.0007006213,4.7,ok
0.45,0.14,0.0006992325,4.7,ok
0.45,0.15,0.0006985121,4.7,ok
0.45,0.16,0.0006986728,4.7,ok
0.45,0.17,0.0007315599,4.7,ok
0.45,0.18,0.0008273296,4.7,ok
0.45,0.19,0.0008173795,5.0,ok
0.45,0.2,0.0009822712,4.6,ok
0.45,0.21,0.0024410483,4.7,ok
0.45,0.22,0.0012450470,4.7,ok
0.45,0.23,0.0014341714,5.0,ok
0.45,0.24,0.0009125170,5.0,ok
0.45,0.25,0.0006848827,5.1,ok
0.45,0.26,0.0012673312,4.7,ok
0.45,0.27,0.0016430303,4.6,ok
0.45,0.28,0.0250831355,4.4,ok
0.45,0.29,0.0017923856,4.7,ok
0.45,0.3,0.0058719401,4.6,ok
0.45,0.31,0.0017265177,4.6,ok
0.45,0.32,0.0164555481,4.4,ok
0.45,0.33,0.0056989499,4.7,ok
0.45,0.34,0.0115065895,4.6,ok
0.45,0.35,0.0084151469,4.6,ok
0.45,0.36,0.0069641314,4.5,ok
0.45,0.37,0.0096894336,4.3,ok
0.45,0.38,0.0071011820,4.2,ok
0.45,0.39,0.0085572668,4.0,ok
0.45,0.4,0.0106837369,4.2,ok
0.45,0.41,0.0111358816,3.9,ok
0.45,0.42,0.0107119252,4.2,ok
0.45,0.43,0.0099474301,4.0,ok
0.45,0.44,0.0079978637,4.1,ok
0.45,0.45,0.0082025781,4.5,ok
0.45,0.46,0.0174325001,4.3,ok
0.45,0.47,0.0170958353,4.5,ok
0.45,0.48,0.0170559281,4.3,ok
0.45,0.49,0.0109659230,4.2,ok
0.45,0.5,0.0096267285,4.0,ok
0.5,0.0,0.0007182101,4.7,ok
0.5,0.01,0.0007169974,4.7,ok
0.5,0.02,0.0007163030,4.6,ok
0.5,0.03,0.0007180442,5.0,ok
0.5,0.04,0.0007181064,4.6,ok
0.5,0.05,0.0007166657,4.6,ok
0.5,0.06,0.0007161475,4.7,ok
0.5,0.07,0.0007135253,5.0,ok
0.5,0.08,0.0007105921,4.6,ok
0.5,0.09,0.0007080735,4.6,ok
0.5,0.1,0.0007184796,4.7,ok
0.5,0.11,0.0007278286,5.0,ok
0.5,0.12,0.0007023522,5.0,ok
0.5,0.13,0.0007006731,4.6,ok
0.5,0.14,0.0006992221,4.7,ok
0.5,0.15,0.0006987350,4.7,ok
0.5,0.16,0.0006988438,4.7,ok
0.5,0.17,0.0007040417,4.7,ok
0.5,0.18,0.0007991687,4.7,ok
0.5,0.19,0.0007956447,4.7,ok
0.5,0.2,0.0010481595,4.6,ok
0.5,0.21,0.0009812140,4.7,ok
0.5,0.22,0.0007853008,4.7,ok
0.5,0.23,0.0017571660,4.7,ok
0.5,0.24,0.0011482928,4.6,ok
0.5,0.25,0.0006847116,5.0,ok
0.5,0.26,0.0045144827,4.9,ok
0.5,0.27,0.0016913401,4.9,ok
0.5,0.28,0.0130852265,4.4,ok
0.5,0.29,0.0014136289,4.7,ok
0.5,0.3,0.0021813265,4.6,ok
0.5,0.31,0.0016363038,4.6,ok
0.5,0.32,0.0138655642,4.8,ok
0.5,0.33,0.0132767583,4.6,ok
0.5,0.34,0.0027768033,4.5,ok
0.5,0.35,0.0041261434,4.9,ok
0.5,0.36,0.0029545737,5.0,ok
0.5,0.37,0.0040117909,4.5,ok
0.5,0.38,0.0097755767,4.2,ok
0.5,0.39,0.0100496364,4.2,ok
0.5,0.4,0.0100296044,3.9,ok
0.5,0.41,0.0106812064,3.9,ok
0.5,0.42,0.0104156218,3.9,ok
0.5,0.43,0.0096317858,4.0,ok
0.5,0.44,0.0077705051,4.1,ok
0.5,0.45,0.0045152940,4.5,ok
0.5,0.46,0.0151997486,4.3,ok
0.5,0.47,0.0184294473,4.2,ok
0.5,0.48,0.0175280894,4.4,ok
0.5,0.49,0.0118221520,4.2,ok
0.5,0.5,0.0090208927,4.3,ok
0.55,0.0,0.0007178058,4.6,ok
0.55,0.01,0.0007168938,5.0,ok
0.55,0.02,0.0007162719,5.0,ok
0.55,0.03,0.0007178888,4.7,ok
0.55,0.04,0.0007179717,4.7,ok
0.55,0.05,0.0007163030,4.7,ok
0.55,0.06,0.0007159817,4.7,ok
0.55,0.07,0.0007135771,4.7,ok
0.55,0.08,0.0007107683,4.7,ok
0.55,0.09,0.0007082911,4.7,ok
0.55,0.1,0.0007061768,4.7,ok
0.55,0.11,0.0007042593,4.7,ok
0.55,0.12,0.0007024351,4.7,ok
0.55,0.13,0.0007007042,4.6,ok
0.55,0.14,0.0006991962,4.7,ok
0.55,0.15,0.0006989526,5.0,ok
0.55,0.16,0.0006989993,5.0,ok
0.55,0.17,0.0006988386,4.7,ok
0.55,0.18,0.0007717645,4.7,ok
0.55,0.19,0.0007737338,4.7,ok
0.55,0.2,0.0018469758,4.7,ok
0.55,0.21,0.0006952576,4.7,ok
0.55,0.22,0.0008353415,4.7,ok
0.55,0.23,0.0009084436,4.7,ok
0.55,0.24,0.0012170832,4.7,ok
0.55,0.25,0.0006845510,4.7,ok
0.55,0.26,0.0044000112,4.6,ok
0.55,0.27,0.0014611716,4.6,ok
0.55,0.28,0.0059600455,4.6,ok
0.55,0.29,0.0023981773,4.7,ok
0.55,0.3,0.0019829158,4.7,ok
0.55,0.31,0.0015559258,4.6,ok
0.55,0.32,0.0048620672,4.9,ok
0.55,0.33,0.0192360051,4.9,ok
0.55,0.34,0.0019482604,4.6,ok
0.55,0.35,0.0023943848,4.5,ok
0.55,0.36,0.0028560292,5.0,ok
0.55,0.37,0.0061808476,4.8,ok
0.55,0.38,0.0097212670,4.2,ok
0.55,0.39,0.0120317507,4.5,ok
0.55,0.4,0.0093540997,4.0,ok
0.55,0.41,0.0102045166,3.9,ok
0.55,0.42,0.0100846174,3.9,ok
0.55,0.43,0.0093582428,4.0,ok
0.55,0.44,0.0075766657,4.1,ok
0.55,0.45,0.0045176330,4.5,ok
0.55,0.46,0.0245749494,4.4,ok
0.55,0.47,0.0173857084,4.1,ok
0.55,0.48,0.0168801413,4.4,ok
0.55,0.49,0.0127624997,4.2,ok
